A,B
Amber,Alpaca
Aqua,Badger
Azure,Bear
Beige,Beaver
Black,Bee
Blue,Bison
Bronze,Camel
Brown,Cat
Coral,Crane
Cream,Deer
Crimson,Dolphin
Cyan,Eagle
Emerald,Falcon
Gold,Finch
Gray,Fox
Green,Frog
Indigo,Gecko
Ivory,Heron
Jade,Horse
Lilac,Jaguar
Lime,Koala
Mint,Lion
Navy,Lynx
Ochre,Moose
Olive,Otter
Orange,Owl
Peach,Panda
Pink,Parrot
Plum,Penguin
Purple,Rabbit
Red,Raven
Ruby,Robin
Scarlet,Seal
Silver,Shark
Teal,Sloth
Violet,Sparrow
White,Swan
Yellow,Tiger
Amethyst,Turtle
Apricot,Whale
Burgundy,Wolf
Cerulean,Wombat
Charcoal,Zebra
Cobalt,Aloe
Copper,Bamboo
Denim,Birch
Fuchsia,Cactus
Graphite,Cedar
Khaki,Cherry
Lemon,Clover
Mauve,Daisy
Mustard,Fern
Onyx,Hazel
Pearl,Holly
Rosewood,Iris
Rust,Ivy
Saffron,Lotus
Salmon,Maple
Sand,Moss
Sepia,Oak
Sky,Orchid
Slate,Palm
Snow,Peony
Steel,Pine
Tan,Poppy
Topaz,Reed
Turquoise,Sage
Vermilion,Spruce
Sunny,Tulip
Cloudy,Willow
Misty,Ant
Windy,Bat
Stormy,Boar
Frosty,Buffalo
Rainy,Cobra
Breezy,Cougar
Brave,Coyote
Calm,Crow
Clever,Dove
Gentle,Duck
Happy,Ferret
Jolly,Gazelle
Kind,Goat
Lucky,Goose
Merry,Hawk
Noble,Hippo
Quiet,Hyena
Swift,Ibex
Rapid,Lizard
Turbo,Llama
Zippy,Mantis
Mighty,Mole
Bold,Moth
Agile,Newt
Bright,Orca
Glowing,Osprey
Shiny,Ox
Lunar,Pelican
Solar,Puma
Stellar,Quail
Dawn,Raccoon
Dusk,Ram
Tiny,Skunk
Little,Snail
Grand,Stork
Cozy,Toucan
Wild,Viper
,Walrus
,Weasel
,Yak
,Ash
,Aster
,Azalea
,Basil
,Beech
,Dahlia
,Elm
,Fennel
,Fir
,Ginkgo
,Grape
,Heather
,Laurel
,Marigold
,Myrtle
,Nettle
,Rowan
,Thyme
,Yarrow
,Yucca
,Comet
,Cosmos
,Galaxy
,Meteor
,Moon
,Nova
,Orbit
,Planet
,Star
,Sun
,Breeze
,Brook
,Canyon
,Cliff
,Cloud
,Coast
,Creek
,Dune
,Flame
,Frost
,Glacier
,Hill
,Island
,Lake
,Ocean
,Peak
,River
,Stone
,Valley
,Wave
,Agate
,Crystal
,Flint
,Marble
,Opal
,Pebble
,Quartz
,Beacon
,Bell
,Bridge
,Compass
,Engine
,Lantern
,Metro
,Rail
,Rocket
,Signal
,Station
,Tunnel
,Echo
,Melody
,Rhythm
,Spark
,Spirit
